2.534836e-18	-1.151319e-18
2.878835e-18	-1.134053e-18
3.351187e-18	-1.121234e-18
3.698887e-18	-1.122328e-18
4.334205e-18	-9.831696e-19
4.885045e-18	-9.260725e-19
5.669904e-18	-7.401080e-19
6.643288e-18	-5.009625e-19
7.580216e-18	-2.291088e-19
8.889797e-18	2.273420e-19
1.024756e-17	6.645916e-19
1.195654e-17	1.299457e-18
1.387812e-17	2.072954e-18
1.608247e-17	2.945791e-18
1.868034e-17	4.151619e-18
2.175608e-17	5.415596e-18
2.519224e-17	7.044629e-18
2.923961e-17	8.861834e-18
3.389267e-17	1.097350e-17
3.898659e-17	1.351477e-17
4.504458e-17	1.651264e-17
5.195244e-17	1.996331e-17
5.960395e-17	2.372298e-17
6.882430e-17	2.808735e-17
7.784199e-17	3.308250e-17
9.008932e-17	3.886602e-17
1.029145e-16	4.523619e-17
1.175975e-16	5.254682e-17
1.340121e-16	6.081743e-17
1.526244e-16	7.024450e-17
1.731427e-16	8.047584e-17
1.978279e-16	9.196516e-17
2.233973e-16	1.048306e-16
2.510176e-16	1.189037e-16
2.823735e-16	1.347733e-16
3.163065e-16	1.514148e-16
3.526774e-16	1.695956e-16
3.917843e-16	1.892072e-16
4.326574e-16	2.096380e-16
4.752200e-16	2.310154e-16
5.186183e-16	2.533823e-16
5.618290e-16	2.746059e-16
6.041979e-16	2.961321e-16
6.447366e-16	3.166190e-16
6.826158e-16	3.369241e-16
7.170017e-16	3.545595e-16
7.474756e-16	3.703272e-16
7.739201e-16	3.831938e-16
7.963458e-16	3.949743e-16
8.150071e-16	4.048487e-16
8.302550e-16	4.129449e-16
2.376365e-18	-1.222110e-18
2.642877e-18	-1.256074e-18
3.090857e-18	-1.215401e-18
3.400363e-18	-1.281476e-18
3.969831e-18	-1.203144e-18
4.514302e-18	-1.151430e-18
5.146645e-18	-1.030032e-18
6.103898e-18	-7.973398e-19
6.900863e-18	-6.225845e-19
8.088374e-18	-2.484338e-19
9.376609e-18	1.346157e-19
1.073352e-17	6.553523e-19
1.267647e-17	1.373524e-18
1.475448e-17	2.103135e-18
1.721471e-17	3.113602e-18
1.984952e-17	4.282456e-18
2.277261e-17	5.680903e-18
2.677903e-17	7.451316e-18
3.102673e-17	9.306207e-18
3.609625e-17	1.167127e-17
4.148129e-17	1.428635e-17
4.774677e-17	1.727242e-17
5.514434e-17	2.105708e-17
6.382800e-17	2.515144e-17
7.327292e-17	2.985434e-17
8.343374e-17	3.510883e-17
9.557372e-17	4.100314e-17
1.095098e-16	4.806930e-17
1.250333e-16	5.571362e-17
1.424208e-16	6.440048e-17
1.614690e-16	7.418274e-17
1.836083e-16	8.523645e-17
2.093507e-16	9.738004e-17
2.356246e-16	1.108030e-16
2.653111e-16	1.258110e-16
2.978981e-16	1.418515e-16
3.329141e-16	1.593008e-16
3.708792e-16	1.782808e-16
4.107708e-16	1.981813e-16
4.524272e-16	2.191542e-16
4.955480e-16	2.407889e-16
5.389877e-16	2.630472e-16
5.819163e-16	2.842188e-16
6.235371e-16	3.054311e-16
6.629813e-16	3.264555e-16
6.992159e-16	3.450245e-16
7.317898e-16	3.618658e-16
7.604003e-16	3.767845e-16
7.849554e-16	3.887326e-16
8.055768e-16	3.996239e-16
